,Currency,Name,Units per EUR,EUR per unit,Date,Rate,Change
13,HUF,Hungarian Forint,411.63123852279705,0.0024293588688474,2022-12-01,,
14,AED,Emirati Dirham,3.855436270387007,0.2593740188836321,2022-12-01,,
15,HKD,Hong Kong Dollar,8.165226405000428,0.1224705783280662,2022-12-01,,
16,MXN,Mexican Peso,20.105741997277462,0.0497370353272916,2022-12-01,,
17,ZAR,South African Rand,18.536711494714297,0.0539470013483863,2022-12-01,,
18,PHP,Philippine Peso,58.98746765955036,0.0169527535199774,2022-12-01,,
19,SEK,Swedish Krona,10.855983801938512,0.0921150969128596,2022-12-01,,
20,IDR,Indonesian Rupiah,16169.349546831738,6.18454067743e-05,2022-12-01,,
21,BRL,Brazilian Real,5.440481632734596,0.1838072559574769,2022-12-01,,
22,SAR,Saudi Arabian Riyal,3.936796736269919,0.2540136224933704,2022-12-01,,
23,TRY,Turkish Lira,19.565424574961344,0.0511105698815112,2022-12-01,,
24,KES,Kenyan Shilling,128.6448185952089,0.0077733406671167,2022-12-01,,
25,KRW,South Korean Won,1370.216490626272,0.0007298116807388,2022-12-01,,
26,EGP,Egyptian Pound,25.787501728395178,0.0387784753456314,2022-12-01,,
27,IQD,Iraqi Dinar,1531.3841727452132,0.0006530040063084,2022-12-01,,
28,NOK,Norwegian Krone,10.240537525126037,0.0976511240300047,2022-12-01,,
29,KWD,Kuwaiti Dinar,0.322137379748612,3.1042656421318604,2022-12-01,,
30,RUB,Russian Ruble,64.29906171793588,0.0155523264769671,2022-12-01,,
31,DKK,Danish Krone,7.436819443903044,0.1344660856086581,2022-12-01,,
32,PKR,Pakistani Rupee,235.619141782947,0.0042441373499323,2022-12-01,,
33,ILS,Israeli Shekel,3.5634560102762776,0.2806264472232026,2022-12-01,,
34,PLN,Polish Zloty,4.689590710063695,0.2132382252152699,2022-12-01,,
35,QAR,Qatari Riyal,3.821317365339335,0.2616898583379503,2022-12-01,,
36,XAU,Gold Ounce,0.0005825370520477,1716.6290049445058,2022-12-01,,
37,OMR,Omani Rial,0.4041410114529881,2.474383870136687,2022-12-01,,
38,COP,Colombian Peso,5022.785152829029,0.0001990927283514,2022-12-01,,
39,CLP,Chilean Peso,925.8418812945404,0.0010800980385568,2022-12-01,,
40,TWD,Taiwan New Dollar,32.13639485140465,0.0311173672287727,2022-12-01,,
41,ARS,Argentine Peso,176.06161732707434,0.0056798296822542,2022-12-01,,
42,CZK,Czech Koruna,24.378189327228824,0.0410202737609829,2022-12-01,,
43,VND,Vietnamese Dong,25735.087763047817,3.88574544298e-05,2022-12-01,,
44,MAD,Moroccan Dirham,11.161955059924551,0.0895900399734058,2022-12-01,,
45,JOD,Jordanian Dinar,0.744317036270766,1.3435135181243147,2022-12-01,,
46,BHD,Bahraini Dinar,0.3947294860899972,2.5333805434844128,2022-12-01,,
47,XOF,CFA Franc,655.957,0.0015244901723741,2022-12-01,,
48,LKR,Sri Lankan Rupee,386.5922020313678,0.0025867050466756,2022-12-01,,
49,UAH,Ukrainian Hryvnia,38.72738521952003,0.0258215212395998,2022-12-01,,
50,NGN,Nigerian Naira,466.0425862987624,0.0021457266554583,2022-12-01,,
51,TND,Tunisian Dinar,3.3621447284136927,0.2974291949864437,2022-12-01,,
52,UGX,Ugandan Shilling,3935.167436913364,0.0002541187931724,2022-12-01,,
53,RON,Romanian Leu,4.930137391872626,0.2028341039031708,2022-12-01,,
54,BDT,Bangladeshi Taka,107.55452670349948,0.0092976095999822,2022-12-01,,
55,PEN,Peruvian Sol,4.011877043042289,0.2492598824119692,2022-12-01,,
56,GEL,Georgian Lari,2.8401183486971684,0.3520980034014161,2022-12-01,,
57,XAF,Central African CFA Franc BEAC,655.957,0.0015244901723741,2022-12-01,,
58,FJD,Fijian Dollar,2.305545828833788,0.4337367696159954,2022-12-01,,
59,VEF,Venezuelan Bolívar,1160610.5287591254,8.616154818698368e-07,2022-12-01,,
60,VES,Venezuelan Bolívar,11.606105287591252,0.0861615481869836,2022-12-01,,
61,BYN,Belarusian Ruble,2.641359950879927,0.378592853150085,2022-12-01,,
62,HRK,Croatian Kuna,7.549723761746691,0.1324551773757404,2022-12-01,,
63,UZS,Uzbekistani Som,11768.124038134156,8.49753109977e-05,2022-12-01,,
64,BGN,Bulgarian Lev,1.95583,0.5112918811962185,2022-12-01,,
65,DZD,Algerian Dinar,145.19305905547094,0.0068873815766768,2022-12-01,,
66,IRR,Iranian Rial,44550.510941991015,2.24464316762e-05,2022-12-01,,
67,DOP,Dominican Peso,57.49149578632437,0.01739387689123,2022-12-01,,
68,ISK,Icelandic Krona,148.69294413989826,0.0067252686789169,2022-12-01,,
69,CRC,Costa Rican Colon,637.570192351723,0.0015684547552504,2022-12-01,,
70,XAG,Silver Ounce,0.0464641295201148,21.521978574183542,2022-12-01,,
71,SYP,Syrian Pound,2637.4967877724303,0.0003791473811972,2022-12-01,,
72,JMD,Jamaican Dollar,161.53273324307327,0.0061906957179707,2022-12-01,,
73,LYD,Libyan Dinar,5.124662622305896,0.195134796902989,2022-12-01,,
74,GHS,Ghanaian Cedi,14.797612496180314,0.0675784691792766,2022-12-01,,
75,MUR,Mauritian Rupee,45.85485910319672,0.0218079396503976,2022-12-01,,
76,AOA,Angolan Kwanza,536.3368732493036,0.0018644998132268,2022-12-01,,
77,UYU,Uruguayan Peso,41.37242252199684,0.0241706900162377,2022-12-01,,
78,AFN,Afghan Afghani,92.66534459628704,0.0107915208685261,2022-12-01,,
79,LBP,Lebanese Pound,1582.5922879805073,0.0006318746828193,2022-12-01,,
80,XPF,CFP Franc,119.331742243,0.0083800000000306,2022-12-01,,
81,TTD,Trinidadian Dollar,7.10357225171271,0.1407742421088058,2022-12-01,,
82,TZS,Tanzanian Shilling,2448.241084522293,0.0004084565063146,2022-12-01,,
